<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20020220,238.07,238,234,234.3,27643
20020224,232.54,233,230,232.54,118862
20020225,231.79,233,230,231.62,20680
20020226,230.2,230,230,230.03,44475
20020318,225.6,226,209,209.2,8725
20020319,206.27,208,199,208.28,109613
20020326,208.69,209,209,208.61,1193
20020327,208.11,208,208,207.94,13195
20020330,206.85,208,207,206.69,10800
20020331,202.5,206,202,206.27,16120
20020403,205.01,207,205,206.69,25345
20020406,209.2,209,207,209.28,8682
20020407,214.22,215,211,215.05,16992
20020408,215.47,222,215,221.75,26547
20020409,223.42,226,223,225.93,43550
20020410,226.77,228,225,225.09,22078
20020413,225.09,226,225,225.01,36899
20020414,225.01,225,225,225.09,18960
20020415,224.09,225,222,223.67,37203
20020416,220.91,221,218,220.49,49179
20020417,219.66,221,220,220.83,50514
20020420,220.07,221,218,220.91,34991
20020421,220.74,221,218,220.41,32950
20020422,219.15,220,219,218.9,4255
20020423,218.4,219,213,213.38,36448
20020424,213.3,216,213,213.38,66221
20020427,213.38,218,212,218.4,147001
20020428,213.55,218,214,218.48,14965
20020429,220.66,222,220,221.75,4663
20020430,222.42,224,222,222.75,16809
20020501,223,223,223,222.58,15892
20020504,221.5,222,219,221.33,43404
20020505,217.56,221,218,220.07,119412
20020506,218.4,220,213,219.66,103687
20020507,213.38,218,211,217.56,41159
20020508,218.4,219,217,219.15,62986
20020512,219.07,222,219,221.75,40872
20020514,221.66,222,219,220.07,27441
20020515,219.15,219,216,219.15,53289
20020518,217.56,218,215,217.48,59371
20020519,215.05,220,215,220.07,59248
20020520,220.07,220,220,220.16,9601
20020521,221.83,222,221,220.91,43630
20020522,220.91,221,221,220.91,26964
20020525,220.83,221,220,220.07,9230
20020526,219.4,219,219,219.4,2000
20020527,217.48,217,213,212.54,22784
20020528,209.2,216,209,212.21,99022
20020529,211.54,212,209,209.2,65773
20020601,209.2,212,209,210.2,61155
20020602,211.71,212,211,210.87,48485
20020603,211.71,212,211,210.95,27327
20020608,209.2,211,209,211.04,21643
20020609,213.38,215,213,214.22,30439
20020610,217.48,222,217,217.56,65450
20020611,218.82,221,218,220.74,29680
20020612,221.5,226,221,225.93,67022
20020615,226.52,230,226,230.37,37897
20020616,230.79,234,231,233.55,41788
20020617,235.39,243,235,242.67,35667
20020618,242.67,243,236,238.73,66765
20020619,236.81,237,234,234.3,50546
20020622,233.8,234,230,230.12,12856
20020623,230.12,230,222,221.75,21654
20020624,220.24,222,218,221.75,35307
20020625,221.83,226,222,223,73937
20020626,223.17,226,223,225.93,82084
20020629,225.93,226,226,225.93,6592
20020630,225.6,227,226,225.93,84602
20020701,225.93,226,226,225.85,33211
20020702,225.93,226,224,225.68,93849
20020703,222.58,226,223,224.59,32093
20020715,226.77,228,225,228.44,147820
20020716,228.53,229,226,229.28,120367
20020813,209.2,218,209,211.71,26909
20020814,212.71,217,213,215.89,192878
20020817,215.89,217,213,215.89,62881
20020818,215.89,216,216,215.89,102647
20020819,215.72,216,216,215.89,53239
20020820,215.64,217,213,215.81,128041
20020821,217.56,218,216,217.56,187208
20020824,216.73,218,216,217.56,75847
20020825,217.56,220,218,220.07,144349
20020826,222.58,223,220,222.84,79420
20020827,225.93,230,226,228.27,77977
20020828,230.12,230,229,230.2,120839
20020831,234.3,238,230,234.3,1621374
20020901,238.48,238,235,238.48,99897
20020902,238.48,242,238,242.25,75311
20020903,239.15,242,239,242.08,286529
20020904,241.75,242,239,241.58,200703
20020907,241.58,244,241,242.75,214863
20020908,242.67,243,242,242.58,173698
20020909,241.83,247,239,246.85,925051
20020910,246.85,247,246,246.85,100568
20020911,246.01,247,246,246.77,41286
20020914,246.18,247,246,246.01,29639
20020924,213.38,213,208,207.61,37141
20020925,207.61,208,206,207.52,163158
20020928,207.52,208,208,207.61,62751
20020929,208.69,209,208,209.2,105791
20020930,209.36,210,209,209.78,115524
20021001,209.53,210,209,210.03,55673
20021002,210.03,212,210,211.71,27151
20021006,211.71,214,212,214.22,89921
20021007,214.22,216,214,215.64,25360
20021008,217.48,219,216,219.15,86136
20021009,221.75,230,222,230.03,1056048
20021012,230.03,230,225,225.85,49217
20021013,221.25,222,221,221.75,86600
20021014,225.01,225,222,225.01,36000
20021015,224.84,225,225,225.01,106145
20021016,225.01,225,225,225.01,3308
20021019,225.93,226,225,226.1,831171
20021020,226.1,228,226,228.02,361935
20021021,228.02,230,228,230.12,90550
20021023,230.03,230,228,230.12,1031788
20021026,229.95,230,226,230.12,111806
20021027,230.03,230,230,230.2,85099
20021028,231.79,232,230,230.37,398154
20021029,230.62,235,230,234.8,44575
20021030,234.8,243,235,242.67,21627
20021102,242.83,255,243,254.8,59110
20021103,260.66,268,255,267.52,102700
20021104,272.54,279,268,278.65,214786
20021110,292.87,293,285,292.87,37393
20021111,301.24,308,293,307.52,240444
20021112,305.43,308,301,305.09,3146449
20021113,302.92,303,293,298.31,25971
20021116,297.06,303,293,302.92,487066
20021117,302,306,302,305.43,266568
20021118,302.66,305,303,305.26,105000
20021119,301.24,305,301,303.67,517227
20021120,301.33,302,301,302.5,161367
20021123,301.24,301,301,301.24,15000
20021124,292.87,301,293,301.16,162702
20021125,298.48,301,293,296.89,154616
20021126,289.53,295,289,294.38,59580
20021130,294.21,294,294,294.38,60494
20021201,294.38,294,293,294.13,14883
20021202,293.29,293,293,293.29,4670
20021203,292.21,293,286,293.13,261600
20021204,293.13,293,285,293.13,5504
20021207,292.04,292,292,292.04,1284
20021208,288.69,292,285,292.04,204728
20021211,286.18,289,285,285.34,17941
20021214,284.51,286,280,285.34,552500
20021215,284.51,285,284,284.51,8650
20021216,284.67,285,285,284.67,12432
20021217,283.59,285,280,284.26,41254
20021222,284.51,289,281,281.16,287000
20021223,281.16,281,281,280.91,27994
20021224,280.91,285,281,284.59,112864
20021225,288.69,293,285,292.87,165809
20021228,292.87,298,290,297.9,954036
20021229,297.98,313,298,306.01,161590
20021231,309.61,312,306,312.12,90778
20030101,314.63,317,312,314.63,289957
20030104,314.63,330,313,330.19,926901
20030105,330.19,330,326,325.93,365594
20030106,322.16,322,318,320.99,39127
20030107,318.06,321,314,320.99,239412
20030108,320.07,320,318,319.99,57818
20030111,317.81,320,314,320.32,145466
20030112,317.98,320,315,320.24,28735
20030113,317.98,320,317,319.65,82130
20030114,317.14,319,317,319.48,20696
20030115,317.98,319,315,319.07,97550
20030118,315.13,319,315,318.73,5560
20030119,317.14,318,317,317.06,1852387
20030120,316.3,316,313,313.63,17386
20030121,313.79,318,313,313.79,167879
20030122,321.33,326,314,324.67,414633
20030125,324.59,331,325,330.53,125919
20030126,330.7,331,330,331.37,214569
20030127,331.62,333,326,331.37,66497
20030128,333.21,334,326,332.79,327125
20030129,332.62,333,331,331.37,150816
20030201,331.2,331,330,330.36,552864
20030202,326.35,326,326,326.35,28689
20030203,325.51,326,325,325.17,1651156
20030204,323.17,325,323,325.17,30536
20030205,325.43,326,322,324.67,13296
20030208,324.59,325,324,324.25,470575
20030209,324.25,324,324,323.84,120972
20030210,322.08,323,318,321.58,1379515
20030215,322.58,323,322,322.41,30832
20030216,321.91,322,321,320.57,699117
20030217,317.81,321,318,320.57,37513
20030218,320.15,320,318,319.99,58158
20030219,319.74,320,318,319.65,124415
20030222,318.06,320,318,319.65,12026956
20030223,319.57,328,319,322.16,386506
20030309,329.69,330,314,317.81,46608
20030310,322.08,322,310,317.98,4999787
20030311,317.06,317,316,315.8,44612
20030312,314.63,316,311,315.63,277498
20030315,315.38,316,311,315.63,231934
20030316,315.55,318,315,315.63,259640
20030317,314.21,318,314,315.47,24575
20030318,317.81,320,318,319.9,35312959
20030319,319.65,322,320,322.25,36051685
20030325,322.25,322,322,322.25,300
20030326,322.25,322,322,322.25,122801
20030329,322.33,324,322,323.58,73547
20030330,326.68,328,325,327.94,177440
20030331,328.02,332,328,332.2,33597
20030405,334.71,338,332,338.23,32236
20030406,338.4,349,338,349.11,63078
20030407,359.82,367,352,366.51,128798
20030408,366.6,385,367,384.84,1595858
20030409,384.75,385,383,384.75,238264
20030412,384.84,385,384,384.92,100756
20030413,384.84,385,377,384.92,140442
20030414,384.84,385,383,383.08,57370
20030415,383.08,383,377,380.74,237934
20030416,380.23,383,376,381.57,155525
20030419,383.08,383,381,383.25,141345
20030420,382.41,385,382,383.25,424369
20030421,383.16,387,383,386.59,108410
20030422,387.85,406,385,386.59,528317
20030426,385.09,389,384,386.68,126833
20030427,386.76,401,387,401.49,126612
20030428,401.99,411,401,403.33,150242
20030429,402.66,404,402,404.17,149477
20030430,404.17,424,404,424.33,235784
20030503,424.33,446,418,434.37,300268
20030504,434.37,434,430,434.37,162760
20030505,434.04,434,414,431.78,307612
20030506,431.53,432,415,426.76,152888
20030507,426.76,432,427,431.19,786149
20030513,518.81,628,502,510.44,586097
20030514,510.44,510,485,485,1393157
20030517,484.92,509,485,509.1,132053
20030518,518.72,533,512,533.03,542095
20030520,533.03,560,533,559.64,1110365
20030521,559.81,587,560,582.4,309505
20030524,582.49,607,582,602.4,251530
20030525,602.4,627,602,619.22,423738
20030526,627.59,650,628,650.18,1238823
20030527,677.8,683,619,650.1,1075986
20030528,649.18,649,636,646.83,768737
20030531,644.16,644,628,644.24,300737
20030601,627.59,644,628,644.24,218888
20030602,643.32,654,643,653.53,239698
20030603,653.78,657,654,656.12,5005445
20030607,671.1,686,661,667.75,1108723
20030608,669.34,682,661,667.75,1553136
20030609,669.43,679,666,674.03,105053
20030610,674.03,681,674,681.23,271339
20030611,686.16,715,681,715.28,4712917
20030615,685.83,724,678,710.76,563471
20030616,710.43,718,690,717.88,2522627
20030617,717.88,737,718,731.35,167619
20030618,731.85,753,732,753.11,379531
20030621,753.11,791,753,790.76,238924
20030622,792.43,830,791,806.41,348937
20030623,820.05,847,820,846.66,385687
20030624,847.49,889,847,888.92,1151535
20030625,888.92,933,889,933.35,892180
20030628,920.71,980,920,979.96,657408
20030629,988.91,1029,984,1021.21,1482123
20030630,1045.98,1072,1021,1072.26,451957
20030701,1125.81,1126,1126,1125.81,153137
20030702,1129.66,1256,1130,1255.93,451016
20030705,1318.69,1319,1264,1298.86,837952
20030706,1298.86,1310,1247,1298.86,665934
20030707,1292.83,1301,1264,1301.2,1262375
20030708,1291.41,1322,1265,1303.04,1991292
20030709,1304.13,1368,1304,1368.14,422675
20030712,1436.51,1437,1437,1436.51,212485
20030713,1508.3,1508,1508,1508.3,221816
20030714,1583.7,1584,1584,1583.7,397635
20030715,1662.86,1663,1663,1662.86,520504
20030728,2075.14,2209,2050,2143.92,1128794
20030729,2251.12,2251,2176,2251.12,388601
20030730,2363.66,2364,2092,2091.96,766618
20030803,2091.96,2092,1757,2051.04,284972
20030804,2051.04,2105,2045,2068.11,735855
20030805,2050.29,2068,1799,2050.12,293784
20030806,2041.75,2050,2032,2048.03,333686
20030809,2045.85,2047,1992,2041.67,341920
20030810,2008.28,2038,1958,2007.86,87549
20030811,2005.94,2025,1883,2024.18,345398
20030812,2068.03,2068,2009,2068.03,373837
20030813,2068.03,2068,2068,2068.03,66698
20030816,2068.03,2068,2068,2068.03,71648
20030817,2068.03,2068,2068,2068.03,51456
20030818,2068.03,2068,2068,2068.03,49965
20030819,2068.03,2068,2068,2068.03,63414
20030820,2171.37,2171,2068,2068.03,42716
20030823,2171.37,2171,2068,2068.03,40606
20030824,2171.37,2171,2068,2068.03,263130
20030825,2171.37,2171,2068,2068.03,75107
20030826,2171.37,2171,2068,2068.03,65391
20030827,2171.37,2171,2068,2068.03,39950
20030830,2171.37,2171,2068,2068.03,92725
20030831,2171.37,2171,2068,2068.03,630328
20030901,2142.17,2167,1971,2068.03,570718
20030902,2008.28,2068,1965,2068.03,342754
20030903,2023.09,2068,1967,2068.03,152879
20030906,1974.89,2068,1965,2068.03,171366
20030907,1964.69,2068,1965,2068.03,356926
20030908,1964.69,2068,1965,2068.03,4236
20030909,1964.69,2068,1965,2068.03,55407
20030913,1964.69,2068,1965,2068.03,63064
20030914,1964.69,2068,1965,2068.03,509524
20030915,1964.69,2068,1965,2068.03,149745
20030916,1964.69,2046,1965,2046.36,100517
20030917,1944.1,1944,1944,1944.1,1132434
20030920,1941,1966,1850,1920.08,587551
20030927,1991.55,2092,1891,2003.51,537267
20030928,2003.18,2004,1925,1987.03,139172
20030929,1924.18,1962,1888,1962.01,123851
20030930,1863.94,1930,1864,1930.13,155880
20031001,1833.64,1929,1834,1928.7,6832
20031004,1832.31,1928,1832,1928.45,1135
20031005,1832.06,1908,1832,1833.14,833850
20031006,1834.06,1925,1834,1859.84,1165032
20031007,1889.21,1889,1841,1867.62,258572
20031008,1867.62,1883,1849,1868.54,333166
20031011,1849.71,1941,1833,1873.48,136033
20031013,1873.48,1941,1832,1872.81,1024459
20031014,1832.31,1862,1812,1861.68,146638
20031015,1807.45,1883,1799,1855.07,131485
20031018,1881.84,1925,1841,1858.92,63838
20031019,1840.84,1859,1833,1851.05,221171
20031020,1840.67,1883,1832,1849.29,213763
20031021,1891.97,1892,1816,1865.02,369353
20031022,1941.34,1958,1891,1956.4,728640
20031025,2054.14,2054,1959,2053.55,499325
20031026,2054.89,2156,2055,2065.69,413992
20031027,2050.04,2067,2017,2059.33,165606
20031028,2058.66,2071,2017,2058.41,154918
20031029,2058.41,2092,2058,2065.69,315078
20031101,2065.69,2169,2059,2103.51,292306
20031102,2170.28,2179,2093,2141,433766
20031103,2133.8,2176,2134,2146.6,130321
20031104,2158.9,2193,2152,2152.38,82572
20031105,2181.58,2182,2092,2151.37,75988
20031108,2138.57,2151,2113,2147.77,89582
20031109,2133.88,2251,2134,2182.08,353176
20031110,2208.27,2291,2192,2280.15,483675
20031111,2281.91,2343,2282,2306.93,378029
20031112,2293.04,2295,2192,2295.38,111044
20031115,2232.04,2293,2192,2264.92,239942
20031117,2264.92,2301,2226,2261.91,593388
20031208,1380.69,1422,1339,1387.97,88140
20031209,1389.73,1391,1339,1381.7,188069
20031210,1378.1,1379,1330,1372.83,96783
20031213,1338.35,1359,1304,1359.1,105242
20031214,1291.16,1339,1291,1309.99,432394
20031215,1298.27,1321,1298,1310.32,82576
20031216,1310.32,1320,1247,1299.44,232335
20031217,1296.18,1299,1255,1298.94,20131
20031221,1280.11,1296,1246,1295.84,46007
20031222,1254.93,1321,1238,1286.3,181782
20031223,1270.24,1283,1239,1283.04,35641
20031224,1250.66,1276,1243,1275.84,1143904
20031227,1263.21,1272,1247,1271.66,100713
20031228,1255.18,1322,1255,1297.1,1204420
20031229,1296.85,1339,1289,1300.28,80254
20031230,1288.65,1365,1289,1347.64,2179601
20031231,1326.3,1347,1289,1337.18,318375
20040103,1337.1,1404,1297,1380.86,1252644
20040104,1330.4,1381,1314,1364.13,517235
20040105,1370.57,1372,1314,1359.36,179807
20040106,1359.36,1359,1297,1357.1,247033
20040107,1335.51,1356,1297,1355.84,619244
20040110,1294.5,1354,1288,1353.67,15994
20040111,1286.05,1353,1286,1353,4655
20040112,1285.38,1353,1285,1352.66,1946
20040113,1285.05,1352,1285,1352.33,2296
20040118,1284.71,1352,1285,1352.33,784
20040119,1284.71,1380,1285,1314,757068
20040120,1314.17,1314,1289,1313.42,167964
20040121,1287.56,1314,1280,1308.81,120161
20040124,1279.78,1307,1255,1306.89,18755
20040125,1266.81,1304,1242,1303.54,29174
20040126,1238.44,1300,1238,1299.53,29412
20040127,1234.59,1280,1235,1274.84,253905
20040128,1255.18,1274,1211,1274.34,6571
20040131,1210.66,1274,1211,1274,2372
20040201,1210.32,1211,1210,1210.58,477924
20040203,1199.2,1209,1194,1208.99,51776
20040204,1193.92,1208,1171,1208.07,24189
20040207,1174.43,1189,1148,1189.49,167004
20040208,1169.74,1200,1166,1181.2,205971
20040209,1171.5,1184,1171,1180.95,19712
20040214,1146.65,1180,1147,1180.12,47071
20040215,1168.57,1180,1121,1173.17,70052138
20040216,1170.66,1171,1130,1169.82,45854650
20040217,1163.13,1171,1161,1169.41,78583
20040218,1168.82,1226,1163,1188.23,388714
20040221,1188.23,1225,1188,1190.07,42238
20040222,1190.07,1225,1187,1189.91,114381
20040223,1189.82,1249,1171,1189.82,165954
20040224,1237.02,1238,1189,1201.04,162161
20040225,1198.94,1201,1180,1200.95,2328
20040228,1188.23,1230,1179,1200.28,209966
20040229,1200.28,1213,1171,1202.38,250611
20040303,1213.25,1246,1192,1213.42,128495
20040306,1213.09,1238,1180,1214.17,130564
20040307,1214.01,1275,1188,1223.96,297779
20040308,1219.95,1280,1213,1245.72,659208
20040309,1245.72,1255,1234,1244.63,1631612
20040310,1254.34,1254,1238,1245.8,1023348
20040313,1250.91,1255,1246,1248.73,2896159
20040314,1255.09,1311,1255,1285.97,1409847
20040315,1288.73,1298,1272,1293.84,584091
20040316,1297.02,1359,1297,1319.27,540567
20040317,1384.96,1385,1343,1381.7,4919312
20040327,1389.06,1451,1389,1412.07,219494
20040328,1482.61,1483,1483,1482.61,495866
20040329,1556.67,1557,1533,1533.32,329606
20040330,1608.3,1608,1506,1534.41,110522
20040403,1521.36,1527,1462,1526.71,92418
20040404,1497.43,1524,1450,1520.52,108856
20040405,1464.37,1513,1445,1513.49,86377
20040406,1444.37,1519,1444,1497.76,450707
20040407,1548.05,1573,1548,1572.48,1669955
20040410,1650.47,1651,1632,1649.64,1550403
20040412,1634.66,1673,1635,1651.39,250721
20040413,1635.91,1672,1571,1614.32,740065
20040414,1589.89,1609,1565,1608.55,147539
20040417,1549.72,1601,1549,1600.77,244584
20040418,1600.77,1601,1565,1593.91,264641
20040501,1589.05,1601,1506,1559.43,99117
20040502,1544.7,1565,1482,1553.74,165666
20040503,1505.12,1549,1476,1548.55,91868
20040504,1481.11,1545,1471,1544.54,73592
20040505,1506.13,1536,1467,1535.75,139009
20040508,1472.66,1524,1459,1523.7,204087
20040509,1496.92,1522,1464,1522.36,32472
20040510,1477.76,1519,1446,1518.76,56595
20040511,1442.87,1510,1443,1509.64,231759
20040512,1506.13,1548,1469,1509.39,88166
20040515,1509.39,1535,1473,1508.89,151650
20040516,1497.84,1504,1464,1504.45,215973
20040517,1464.37,1504,1462,1500.35,127139
20040518,1462.61,1493,1448,1492.99,223307
20040519,1480.86,1492,1423,1492.4,1037377
20040522,1459.35,1485,1418,1484.96,124375
20040523,1450.06,1484,1411,1484.12,12232
20040524,1409.98,1484,1410,1484.04,1086
20040525,1409.9,1473,1410,1473.07,2168761
20040526,1447.64,1469,1399,1469.06,71829
20040529,1412.83,1452,1396,1452.49,256808
20040530,1379.94,1452,1380,1451.74,11565
20040531,1379.19,1451,1379,1451.4,4011
20040601,1378.85,1451,1379,1450.57,11716
20040602,1378.1,1450,1378,1449.9,9118
20040605,1377.43,1450,1377,1449.73,2261
20040606,1377.26,1450,1377,1449.56,1782
20040607,1377.1,1449,1377,1448.89,9953
20040608,1376.51,1518,1377,1443.2,4292386
20040609,1450.82,1506,1451,1451.9,202486
20040612,1449.39,1451,1422,1451.49,26701
20040613,1444.29,1451,1395,1451.32,1007235
20040614,1378.77,1446,1379,1446.13,860063
20040615,1435.75,1506,1397,1442.95,213237
20040622,1506.13,1632,1465,1540.44,317953
20040623,1540.44,1540,1490,1538.93,71541
20040626,1506.21,1533,1464,1532.82,175013
20040627,1501.78,1525,1469,1525.04,175000
20040628,1467.72,1518,1449,1517.84,112225
20040629,1442.03,1517,1442,1517.34,6724
20040630,1441.53,1505,1442,1505.04,180927
20040703,1429.81,1500,1430,1499.6,80795
20040704,1424.62,1491,1425,1490.81,130235
20040705,1416.34,1490,1416,1490.06,11351
20040706,1415.59,1460,1416,1459.6,457918
20040707,1386.63,1414,1387,1413.33,712561
20040710,1386.97,1411,1343,1410.65,74729
20040711,1340.19,1409,1340,1408.81,28794
20040712,1338.44,1355,1338,1354.84,1482034
20040713,1287.14,1338,1287,1290.49,1475585
20040714,1225.97,1339,1226,1281.79,1123171
20040809,476.97,519,477,492.7,197020
20040810,468.26,492,468,486.51,309912
20040811,462.24,490,462,475.21,21629776
20040814,475.21,477,452,461.65,854371
20040815,457.72,459,440,459.23,189472
20040816,447.51,459,447,458.22,246837
20040817,459.23,464,452,458.14,333471
20040818,451.95,477,436,457.97,7576099
20040821,451.86,458,448,457.47,103999
20040822,451.7,477,443,461.49,522265
20040823,456.05,480,451,465.84,426792
20040824,459.23,465,455,464.75,147584
20040825,456.21,464,456,463.58,275602
20040828,468.6,485,465,464.83,122108
20040829,465.34,488,465,467.09,120263
20040831,488.26,490,444,473.54,18430606
20040901,473.79,483,450,475.54,18406431
20040904,477.13,499,476,477.89,152114
20040905,498.05,502,483,482.57,230116
20040906,500.4,507,485,486.42,205930
20040907,510.69,511,489,489.27,1214339
20040908,502.74,507,492,491.78,186857
20040911,508.01,516,496,495.54,174378
20040912,516.46,520,500,499.81,1496072
20040914,524.75,525,505,505,235607
20040915,530.19,530,523,523.07,809003
20040918,549.18,549,530,531.11,370803
20040919,531.19,558,531,536.8,4165754
20040920,540.56,548,536,537.3,263818
20040921,535.63,542,527,537.22,16255394
20040922,538.89,539,527,536.96,146772
20040925,534.29,536,519,536.46,129838
20040926,531.36,534,510,534.45,128922
20040927,507.76,532,508,532.45,137028
20040928,505.84,531,506,531.11,53506
20040929,504.58,536,505,518.97,544035
20041002,505,518,494,517.89,69968
20041003,492.03,517,492,516.71,261455
20041004,490.94,515,491,514.87,81804
20041005,493.7,514,489,514.04,36722
20041006,488.35,512,488,511.86,95746
20041009,494.12,511,487,511.28,34473
20041010,486.92,505,486,505.33,17269462
20041011,495.38,505,494,505,48649
20041012,499.89,505,480,504.66,17297
20041013,481.07,503,479,502.74,146058
20041016,501.48,503,500,502.66,32794
20041017,499.31,502,478,502.49,23680
20041018,477.39,502,477,500.9,95883
20041019,477.64,500,476,499.73,52600
20041020,474.79,495,475,494.96,233417
20041023,481.99,495,482,494.79,58967
20041024,476.97,494,477,493.87,62361
20041025,479.23,493,479,493.37,40999
20041026,482.82,493,483,492.87,1945642
20041027,485.42,493,477,492.36,52170
20041030,492.53,493,477,491.95,48351
20041031,480.48,491,473,491.28,42875
20041101,474.87,491,469,490.52,38931
20041102,473.54,489,466,488.85,10602246
20041103,478.64,489,477,488.51,35603
20041106,484.25,494,484,488.51,30714
20041107,488.51,502,489,488.68,84622
20041108,488.68,500,489,488.68,38340
20041109,488.68,494,485,488.68,36456
20041110,488.6,494,488,488.68,39602
20041113,483.24,489,480,488.6,31010
20041115,480.23,488,475,488.43,30510
20041116,484.5,488,479,488.26,48361
20041117,478.64,488,464,488.1,23361
20041120,471.95,487,464,487.43,87306
20041121,466.59,485,463,485.33,243074
20041122,465.34,485,464,485.17,36607
20041123,468.6,485,469,485.08,18894
20041124,472.78,484,461,484.5,73349
20041127,462.74,485,460,483.16,180801
20041128,483.16,483,478,483.08,8745
20041129,474.29,484,471,482.15,314885
20041130,482.15,485,473,481.9,159251
20041201,484.5,502,469,481.9,205809
20041204,481.9,482,469,481.65,97374
20041205,477.39,502,469,481.65,188441
20041206,480.31,501,459,481.23,389045
20041207,481.23,501,477,481.57,130411
20041211,481.4,482,469,481.23,172358
20041212,478.64,481,464,480.9,57644
20041213,466.93,479,457,478.81,281976
20041214,460.23,478,455,477.64,576611
20041215,453.79,477,454,477.05,63680
20041218,453.2,476,453,475.71,150071
20041219,451.95,475,452,475.29,41478
20041220,451.53,475,452,474.54,84516
20041221,450.86,474,451,473.95,66273
20041222,450.27,477,450,470.61,526120
20041225,468.6,470,447,469.94,83726
20041226,460.23,470,447,469.69,57289
20041227,459.98,476,446,468.77,183359
20041228,464.42,468,453,468.43,66109
20041229,454.96,467,450,466.93,271160
20050101,443.58,469,444,465.92,129243
20050102,455.96,463,443,462.91,391391
20050103,454.04,461,440,461.15,273786
20050104,446.01,460,438,460.31,124354
20050105,437.64,457,437,456.55,512062
20050108,444.58,479,443,456.05,2358077
20050109,466.09,466,443,455.46,372313
20050110,455.29,455,435,454.79,156140
20050111,450.78,454,432,454.12,87106
20050112,432.2,460,431,452.2,9645121
20050115,451.86,452,430,451.95,52705
20050116,434.79,451,429,451.45,58718
20050117,428.94,474,429,458.81,1490462
20050118,439.31,459,436,458.56,36880
20050119,441.24,458,436,457.55,127755
20050122,438.47,457,435,457.39,14277
20050123,434.54,457,435,457.14,21347
20050124,434.29,457,434,456.97,16238
20050125,434.12,456,434,455.88,401596
20050126,433.12,454,433,454.04,2619288
20050130,431.36,454,431,453.96,6589
20050131,431.28,454,431,453.79,20168
20050201,431.11,454,431,453.7,10261
20050202,431.03,453,431,453.2,59605
20050205,430.61,452,431,452.03,137881
20050206,429.44,452,429,448.93,484206
20050207,426.51,449,427,448.77,11513
20050208,426.34,448,426,447.85,112126
20050209,425.5,459,426,447.18,2181699
20050212,435.04,447,425,446.93,33289
20050213,426.76,447,425,446.76,11928
20050214,424.5,447,425,446.59,14025
20050215,424.33,446,424,446.42,10702
20050216,424.17,446,424,446.17,28022
20050221,423.91,439,424,438.89,1959329
20050222,416.97,436,417,436.38,316981
20050223,417.47,435,415,434.79,866736
20050226,414.71,435,415,433.87,205496
20050227,435.04,439,427,433.71,323742
20050228,438.73,439,434,433.71,54057
20050301,433.71,439,431,433.71,89236
20050302,437.97,438,432,433.71,309433
20050305,432.2,434,418,433.54,54715
20050306,430.11,433,418,433.37,2037481
20050307,426.68,433,417,432.53,1234285
20050308,418.31,432,416,432.03,86778
20050309,428.27,432,418,431.61,186758
20050312,430.53,431,418,431.45,31371
20050313,425.5,431,419,431.28,54636
20050314,419.4,431,410,430.86,5196447
